"Abbreviation","Association","IOC member","Federation"
"ASA","American Samoa","Yes","OFC"
"COK","Cook Islands","Yes","OFC"
"FIJ","Fiji","Yes","OFC"
"KIR","Kiribati","Yes","OFC"
"NCL","New Caledonia","No","OFC"
"NZL","New Zealand","Yes","OFC"
"PNG","Papua New Guinea","Yes","OFC"
"SAM","Samoa","Yes","OFC"
"SOL","Solomon Islands","Yes","OFC"
"TAH","Tahiti","No","OFC"
"TGA","Tonga","Yes","OFC"
"TUV","Tuvalu","Yes","OFC"
"VAN","Vanuatu","Yes","OFC"
"AUS","Australia[m 1]","Yes[m 2]","AFC"
"BRU","Brunei Darussalam","Yes","AFC"
"CAM","Cambodia","Yes","AFC"
"IDN","Indonesia","Yes","AFC"
"LAO","Laos","Yes","AFC"
"MAS","Malaysia","Yes","AFC"
"MYA","Myanmar","Yes","AFC"
"PHI","Philippines","Yes","AFC"
"SIN","Singapore","Yes","AFC"
"THA","Thailand","Yes","AFC"
"TLS","Timor-Leste","Yes","AFC"
"VIE","Vietnam","Yes","AFC"
"AFG","Afghanistan","Yes","AFC"
"IRN","Islamic Republic of Iran","Yes","AFC"
"KGZ","Kyrgyz Republic","Yes","AFC"
"TJK","Tajikistan","Yes","AFC"
"TKM","Turkmenistan","Yes","AFC"
"UZB","Uzbekistan","Yes","AFC"
"CHN","China","Yes","AFC"
"TPE","Chinese Taipei[m 3]","Yes","AFC"
"PRK","DPR Korea","Yes","AFC"
"GUM","Guam","Yes[m 2]","AFC"
"HKG","Hong Kong","Yes","AFC"
"JPN","Japan","Yes","AFC"
"KOR","Korea Republic","Yes","AFC"
"MAC","Macau","No[m 4]","AFC"
"MNG","Mongolia","Yes","AFC"
"NMI","Northern Mariana Islands","No[m 5]","AFC"
"BAN","Bangladesh","Yes","AFC"
"BHU","Bhutan","Yes","AFC"
"IND","India","Yes","AFC"
"MDV","Maldives","Yes","AFC"
"NEP","Nepal","Yes","AFC"
"PAK","Pakistan","Yes","AFC"
"SRI","Sri Lanka","Yes","AFC"
"BHR","Bahrain","Yes","AFC"
"IRQ","Iraq","Yes","AFC"
"JOR","Jordan","Yes","AFC"
"KUW","Kuwait","Yes","AFC"
"LBN","Lebanon","Yes","AFC"
"OMA","Oman","Yes","AFC"
"PLE","Palestine","Yes","AFC"
"QAT","Qatar","Yes","AFC"
"KSA","Saudi Arabia","Yes","AFC"
"SYR","Syria","Yes","AFC"
"UAE","United Arab Emirates","Yes","AFC"
"YEM","Yemen","Yes","AFC"
"CAN","Canada","Yes","CONCACAF"
"MEX","Mexico","Yes","CONCACAF"
"USA","United States","Yes","CONCACAF"
"BLZ","Belize","Yes","CONCACAF"
"CRC","Costa Rica","Yes","CONCACAF"
"SLV","El Salvador","Yes","CONCACAF"
"GUA","Guatemala","Yes","CONCACAF"
"HON","Honduras","Yes","CONCACAF"
"NCA","Nicaragua","Yes","CONCACAF"
"PAN","Panama","Yes","CONCACAF"
"AIA","Anguilla","No","CONCACAF"
"ATG","Antigua and Barbuda","Yes","CONCACAF"
"ARU","Aruba","Yes","CONCACAF"
"BAH","Bahamas","Yes","CONCACAF"
"BRB","Barbados","Yes","CONCACAF"
"BER","Bermuda","Yes","CONCACAF"
"BOE","Bonaire[m 1]","No","CONCACAF"
"VGB","British Virgin Islands","Yes","CONCACAF"
"CAY","Cayman Islands","Yes","CONCACAF"
"CUB","Cuba","Yes","CONCACAF"
"CUW","Curaçao","No","CONCACAF"
"DMA","Dominica","Yes","CONCACAF"
"DOM","Dominican Republic","Yes","CONCACAF"
"GUF","French Guiana[m 1]","No","CONCACAF"
"GRN","Grenada","Yes","CONCACAF"
"GLP","Guadeloupe[m 1]","No","CONCACAF"
"GUY","Guyana","Yes","CONCACAF"
"HAI","Haiti","Yes","CONCACAF"
"JAM","Jamaica","Yes","CONCACAF"
"MTQ","Martinique[m 1]","No","CONCACAF"
"MSR","Montserrat","No","CONCACAF"
"PUR","Puerto Rico","Yes","CONCACAF"
"SKN","Saint Kitts and Nevis","Yes","CONCACAF"
"LCA","Saint Lucia","Yes","CONCACAF"
"SMN","Saint Martin[m 1]","No","CONCACAF"
"VIN","Saint Vincent and the Grenadines","Yes","CONCACAF"
"SMA","Sint Maarten[m 1]","No","CONCACAF"
"SUR","Suriname","Yes","CONCACAF"
"TRI","Trinidad and Tobago","Yes","CONCACAF"
"TCA","Turks and Caicos Islands","No","CONCACAF"
"VIR","U.S. Virgin Islands","Yes","CONCACAF"
"ALG","Algeria","Yes","CAF"
"EGY","Egypt 2","Yes","CAF"
"LBY","Libya","Yes","CAF"
"MAR","Morocco","Yes","CAF"
"TUN","Tunisia","Yes","CAF"
"BEN","Benin","Yes","CAF"
"BFA","Burkina Faso","Yes","CAF"
"CPV","Cape Verde","Yes","CAF"
"GAM","Gambia","Yes","CAF"
"GHA","Ghana","Yes","CAF"
"GUI","Guinea","Yes","CAF"
"GNB","Guinea-Bissau","Yes","CAF"
"CIV","Ivory Coast","Yes","CAF"
"LBR","Liberia","Yes","CAF"
"MLI","Mali","Yes","CAF"
"MTN","Mauritania","Yes","CAF"
"NIG","Niger","Yes","CAF"
"NGA","Nigeria","Yes","CAF"
"SEN","Senegal","Yes","CAF"
"SLE","Sierra Leone","Yes","CAF"
"TOG","Togo","Yes","CAF"
"CMR","Cameroon","Yes","CAF"
"CTA","Central African Republic","Yes","CAF"
"CHA","Chad","Yes","CAF"
"CGO","Congo","Yes","CAF"
"COD","DR Congo","Yes","CAF"
"EQG","Equatorial Guinea","Yes","CAF"
"GAB","Gabon","Yes","CAF"
"STP","São Tomé and Príncipe","Yes","CAF"
"BDI","Burundi","Yes","CAF"
"DJI","Djibouti","Yes","CAF"
"ERI","Eritrea","Yes","CAF"
"ETH","Ethiopia","Yes","CAF"
"KEN","Kenya","Yes","CAF"
"RWA","Rwanda","Yes","CAF"
"SOM","Somalia","Yes","CAF"
"SSD","South Sudan","Yes","CAF"
"SDN","Sudan","Yes","CAF"
"TAN","Tanzania","Yes","CAF"
"UGA","Uganda","Yes","CAF"
"ZAN","Zanzibar 3","No","CAF"
"ANG","Angola","Yes","CAF"
"BOT","Botswana","Yes","CAF"
"COM","Comoros","Yes","CAF"
"SWZ","Eswatini","Yes","CAF"
"LES","Lesotho","Yes","CAF"
"MAD","Madagascar","Yes","CAF"
"MWI","Malawi","Yes","CAF"
"MRI","Mauritius","Yes","CAF"
"MOZ","Mozambique","Yes","CAF"
"NAM","Namibia","Yes","CAF"
"SEY","Seychelles","Yes","CAF"
"RSA","South Africa 1","Yes","CAF"
"ZAM","Zambia","Yes","CAF"
"ZIM","Zimbabwe","Yes","CAF"
"REU","Réunion 3","No","CAF"
"ARG","Argentina","Yes","CONMEBOL"
"BOL","Bolivia","Yes","CONMEBOL"
"BRA","Brazil","Yes","CONMEBOL"
"CHI","Chile","Yes","CONMEBOL"
"COL","Colombia","Yes","CONMEBOL"
"ECU","Ecuador","Yes","CONMEBOL"
"PAR","Paraguay","Yes","CONMEBOL"
"PER","Peru","Yes","CONMEBOL"
"URU","Uruguay","Yes","CONMEBOL"
"VEN","Venezuela","Yes","CONMEBOL"
"ALB","Albania","Yes","UEFA"
"AND","Andorra","Yes","UEFA"
"ARM","Armenia","Yes","UEFA"
"AUT","Austria","Yes","UEFA"
"AZE","Azerbaijan","Yes","UEFA"
"BLR","Belarus","Yes","UEFA"
"BEL","Belgium","Yes","UEFA"
"BIH","Bosnia and Herzegovina","Yes","UEFA"
"BUL","Bulgaria","Yes","UEFA"
"CRO","Croatia","Yes","UEFA"
"CYP","Cyprus","Yes","UEFA"
"CZE","Czech Republic","Yes","UEFA"
"DEN","Denmark","Yes","UEFA"
"ENG","England","No[n 1]","UEFA"
"EST","Estonia","Yes","UEFA"
"FRO","Faroe Islands","No","UEFA"
"FIN","Finland","Yes","UEFA"
"FRA","France","Yes","UEFA"
"GEO","Georgia","Yes","UEFA"
"GER","Germany","Yes","UEFA"
"GIB","Gibraltar","No","UEFA"
"GRE","Greece","Yes","UEFA"
"HUN","Hungary","Yes","UEFA"
"ISL","Iceland","Yes","UEFA"
"ISR","Israel[n 5]","Yes","UEFA"
"ITA","Italy","Yes","UEFA"
"KAZ","Kazakhstan[n 7]","Yes[n 8]","UEFA"
"KOS","Kosovo","Yes","UEFA"
"LVA","Latvia","Yes","UEFA"
"LIE","Liechtenstein","Yes","UEFA"
"LTU","Lithuania","Yes","UEFA"
"LUX","Luxembourg","Yes","UEFA"
"MLT","Malta","Yes","UEFA"
"MDA","Moldova","Yes","UEFA"
"MNE","Montenegro","Yes","UEFA"
"NED","Netherlands","Yes","UEFA"
